Date,CPI,Unemployment Rate,GDP
01/12/1993,0.002054795,6.5,
01/01/1994,0,6.6,0.014530625
01/02/1994,0.002734108,6.6,
01/03/1994,0.002726653,6.5,
01/04/1994,0.00067981,6.4,0.018449328
01/05/1994,0.002038043,6.1,
01/06/1994,0.002711864,6.1,
01/07/1994,0.003380663,6.1,0.011610984
01/08/1994,0.004043127,6,
01/09/1994,0.002013423,5.9,
01/10/1994,0.000669792,5.8,0.016943354
01/11/1994,0.002677376,5.6,
01/12/1994,0.00200267,5.5,
01/01/1995,0.00266489,5.6,0.008987044
01/02/1995,0.002657807,5.4,
01/03/1995,0.001988072,5.4,
01/04/1995,0.003968254,5.8,0.007804539
01/05/1995,0.001976285,5.6,
01/06/1995,0.001972387,5.6,
01/07/1995,0.001312336,5.7,0.013471579
01/08/1995,0.001965924,5.7,
01/09/1995,0.001308044,5.6,
01/10/1995,0.002612671,5.5,0.01164383
01/11/1995,0.001302932,5.6,
01/12/1995,0.001301236,5.6,
01/01/1996,0.005198181,5.6,0.01233592
01/02/1996,0.001939237,5.5,
01/03/1996,0.003225806,5.5,
01/04/1996,0.003858521,5.6,0.020889962
01/05/1996,0.001921845,5.6,
01/06/1996,0.001918159,5.3,
01/07/1996,0.001914486,5.5,0.012270629
01/08/1996,0.001273885,5.1,
01/09/1996,0.003180662,5.2,
01/10/1996,0.003170577,5.2,0.015786073
01/11/1996,0.003160556,5.4,
01/12/1996,0.002520479,5.4,
01/01/1997,0.001885607,5.3,0.012456035
01/02/1997,0.001882058,5.2,
01/03/1997,0.000626174,5.2,
01/04/1997,0.000625782,5.1,0.018674691
01/05/1997,0,4.9,
01/06/1997,0.001876173,5,
01/07/1997,0.001248439,4.9,0.016903505
01/08/1997,0.002493766,4.8,
01/09/1997,0.002487562,4.9,
01/10/1997,0.001861042,4.7,0.011899585
01/11/1997,0.00123839,4.6,
01/12/1997,0.000618429,4.7,
01/01/1998,0.001236094,4.6,0.0114732
01/02/1998,0,4.6,
01/03/1998,0,4.7,
01/04/1998,0.001234568,4.3,0.011641486
01/05/1998,0.002466091,4.4,
01/06/1998,0.001230012,4.5,
01/07/1998,0.002457002,4.5,0.016878827
01/08/1998,0.00122549,4.5,
01/09/1998,0.000611995,4.6,
01/10/1998,0.002446483,4.5,0.018955395
01/11/1998,0.001220256,4.4,
01/12/1998,0.001828154,4.4,
01/01/1999,0.001824818,4.3,0.012663128
01/02/1999,0,4.4,
01/03/1999,0.000607165,4.2,
01/04/1999,0.006674757,4.3,0.012168707
01/05/1999,0.000602773,4.2,
01/06/1999,0,4.3,
01/07/1999,0.004216867,4.3,0.016839436
01/08/1999,0.00239952,4.2,
01/09/1999,0.004189108,4.2,
01/10/1999,0.001787843,4.1,0.022045137
01/11/1999,0.001784652,4.1,
01/12/1999,0.002375297,4,
01/01/2000,0.002962085,4,0.010303865
01/02/2000,0.004134672,4.1,
01/03/2000,0.005882353,4,
01/04/2000,-0.000584795,3.8,0.024548751
01/05/2000,0.001755413,4,
01/06/2000,0.005841121,4,
01/07/2000,0.0029036,4,0.006874212
01/08/2000,0,4.1,
01/09/2000,0.005211349,3.9,
01/10/2000,0.001728111,3.9,0.01139534
01/11/2000,0.001725129,3.9,
01/12/2000,0.002296211,3.9,
01/01/2001,0.005727377,4.2,0.0033047
01/02/2001,0.002277904,4.2,
01/03/2001,0.000568182,4.3,
01/04/2001,0.001703578,4.4,0.012298583
01/05/2001,0.005102041,4.3,
01/06/2001,0.002256063,4.5,
01/07/2001,-0.001688239,4.6,-9.25E-05
01/08/2001,0,4.9,
01/09/2001,0.003945885,5,
01/10/2001,-0.002807412,5.3,0.005892138
01/11/2001,-0.000563063,5.5,
01/12/2001,-0.00056338,5.7,
01/01/2002,0.001691094,5.7,0.011541241
01/02/2002,0.001688239,5.7,
01/03/2002,0.002808989,5.7,
01/04/2002,0.004481793,5.9,0.009640655
01/05/2002,0.001115449,5.8,
01/06/2002,0.000557103,5.8,
01/07/2002,0.002227171,5.8,0.008870756
01/08/2002,0.002777778,5.7,
01/09/2002,0.00166205,5.7,
01/10/2002,0.002212389,5.7,0.00704595
01/11/2002,0.001655629,5.9,
01/12/2002,0.001652893,6,
01/01/2003,0.00440044,5.8,0.010188192
01/02/2003,0.005476451,5.9,
01/03/2003,0.001633987,5.9,
01/04/2003,-0.003806417,6,0.012406963
01/05/2003,-0.001637555,6.1,
01/06/2003,0.001093494,6.3,
01/07/2003,0.003276898,6.2,0.022443936
01/08/2003,0.004354927,6.1,
01/09/2003,0.003252033,6.1,
01/10/2003,-0.001080497,6,0.017772187
01/11/2003,0.000540833,5.8,
01/12/2003,0.002702703,5.7,
01/01/2004,0.004312668,5.7,0.012844886
01/02/2004,0.002147075,5.6,
01/03/2004,0.002142475,5.8,
01/04/2004,0.001603421,5.6,0.015881984
01/05/2004,0.004268943,5.6,
01/06/2004,0.003719447,5.6,
01/07/2004,0.001058761,5.5,0.015891599
01/08/2004,0.000528821,5.4,
01/09/2004,0.003171247,5.4,
01/10/2004,0.005268704,5.5,0.018033439
